id,name,type,year
koori-zokusei-danshi-to-cool-na-douryou-joshi,"Koori Zokusei Danshi to Cool na Douryou Joshi",anime,
koukyuu-no-karasu,"Koukyuu no Karasu",anime,
kubo-san-wa-mob-wo-yurusanai,"Kubo-san wa Mob wo Yurusanai",anime,
kuma-kuma-kuma-bear,"Kuma Kuma Kuma Bear",anime,
kyoukai-no-kanata-movie-1-i-ll-be-here-kako-hen,"Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen",anime,
kyoukai-no-kanata-movie-2-i-ll-be-here-mirai-hen,"Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen",anime,
kyuuketsuki-sugu-shinu,"Kyuuketsuki Sugu Shinu",anime,
lets-play-quest-darake-no-my-life-2,"Lets Play Quest-darake no My Life",anime,
level-1-dakedo-unique-skill-de-saikyou-desu,"Level 1 dakedo Unique Skill de Saikyou desu",anime,
liar-liar,"Liar Liar",anime,
lookism,"Lookism",anime,
lupin-zero,"Lupin Zero",anime,
mahouka-koukou-no-rettousei-movie-hoshi-wo-yobu-shoujo,"Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo",anime,
mahouka-koukou-no-rettousei-tsuioku-hen,"Mahouka Koukou no Rettousei: Tsuioku-hen",anime,
mahou-shoujo-magical-destroyers,"Mahou Shoujo Magical Destroyers",anime,
maken-ki,"Maken-Ki!",anime,
maken-ki-two,"Maken-Ki! Two",anime,
masou-gakuen-hxh,"Masou Gakuen HxH",anime,
megumi-no-daigo-kyuukoku-no-orange,"Megumi no Daigo: Kyuukoku no Orange",anime,
meitantei-conan-hannin-no-hanzawa-san,"Meitantei Conan: Hannin no Hanzawa-san",anime,
migi-to-dali,"Migi to Dali",anime,
mix-meisei-story,"Mix: Meisei Story",anime,
mobile-suit-gundam-hathaway-s-flash,"Mobile Suit Gundam: Hathaway's Flash",anime,
mob-psycho-100,"Mob Psycho 100",anime,
monster-musume-no-iru-nichijou,"Monster Musume no Iru Nichijou",anime,
monogatari-series-second-season,"Monogatari Series: Second Season",anime,
mou-ippon,"Mou Ippon!",anime,
mushikaburi-hime,"Mushikaburi-hime",anime,
nanatsu-no-maken-ga-shihai-suru,"Nanatsu no Maken ga Shihai suru",anime,
