id,name,type,poster_source,final_status,image_url
the-legend-of-heroes-sen-no-kiseki-northern-war,The Legend of Heroes: Sen no Kiseki - Northern War,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx130696-auVIKVCaPGNl.jpg
the-marginal-service,The Marginal Service,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx156854-rl5eXhCfWhYI.png
thermae-romae-novae,Thermae Romae Novae,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx125447-Sqcq8oDHvZOK.jpg
toaru-kagaku-no-railgun-t,Toaru Kagaku no Railgun T,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/toaru-kagaku-no-railgun-t.jpg
toaru-ossan-no-vrmmo-katsudouki,Toaru Ossan no VRMMO Katsudouki,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx161364-X0Nk5FvL6GHj.jpg
tokyo-mew-mew-new,Tokyo Mew Mew New ♡,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx117196-PtUScsEWrBED.png
tokyo-revengers,Tokyo Revengers,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx120120-cWDmnmeEntSe.jpg
tomo-chan-wa-onnanoko,Tomo-chan wa Onnanoko!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx151806-IAMi2ctI5xJI.jpg
totsukuni-no-shoujo-2022,Totsukuni no Shoujo (2022),anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-totsukuni-no-shoujo-2022.jpg
triage-x,Triage X,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20839-6FUPqFJn7j0X.jpg
triage-x-recollection-xoxo,Triage X: Recollection XOXO,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/21338-C9Qx8qhEyED5.jpg
trigun-stampede,Trigun Stampede,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx151040-9QXRpaprfNmL.png
tsukimonogatari,Tsukimonogatari,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/tsukimonogatari.png
tsundere-akuyaku-reijou-liselotte-to-jikkyou-no-endou-kun-to-kaisetsu-no-kobayas,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx143064-3tJ0mGnNOT2w.png
uchi-no-kaisha-no-chiisai-senpai-no-hanashi,Uchi no Kaisha no Chiisai Senpai no Hanashi,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155730-1dE2C3K8VFdW.png
uchi-no-shishou-wa-shippo-ga-nai,Uchi no Shishou wa Shippo ga Nai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx137341-vb51oAS0lx37.jpg
