id,name,type,year,source,image_url,match_status
fate-grand-order-shinsei-entaku-ryouiki-camelot-2-paladin-agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-fate-grand-order-shinsei-entaku-ryouiki-camelot-2-paladin-agateram.jpg,matched_name
fate-grand-order-shuukyoku-tokuiten-kani-jikan-shinden-solomon,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-fate-grand-order-shuukyoku-tokuiten-kani-jikan-shinden-solomon.jpg,matched_name
fate-stay-night-movie-heaven-s-feel-i-presage-flower,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,anime,,witanime,,not_found_on_site
fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,anime,,witanime,,not_found_on_site
fate-stay-night-movie-heaven-s-feel-iii-spring-song,Fate/stay night Movie: Heaven's Feel - III. Spring Song,anime,,witanime,,not_found_on_site
futsal-boys,Futsal Boys!!!!!,anime,,witanime,,not_found_on_site
fuufu-ijou-koibito-miman,"Fuufu Ijou, Koibito Miman",anime,,witanime,,not_found_on_site
fuuka,Fuuka,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/fuuka.jpg,matched_slug
gangsta,Gangsta,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/gangsta.jpg,matched_slug
genjitsu-no-yohane-sunshine-in-the-mirror,Genjitsu no Yohane: Sunshine in the Mirror,anime,,witanime,,not_found_on_site
gibiate,Gibiate,anime,,witanime,,not_found_on_site
gintama-enchousen,Gintama': Enchousen,anime,,witanime,,not_found_on_site
gintama-futon-ni-haitte-kara-buki-nokoshi-ni-kizuite-neru-ni-nerenai-toki-mo-aru,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,anime,,witanime,,not_found_on_site
goblin-slayer,Goblin Slayer,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/goblin-slayer.jpg,matched_slug
goblin-slayer-goblin-s-crown,Goblin Slayer: Goblin's Crown,anime,,witanime,,not_found_on_site
good-night-world,Good Night World,anime,,witanime,,not_found_on_site
gotoubun-no-hanayome-2024-2,Gotoubun no Hanayome 2024,anime,,witanime,,not_found_on_site
gyakuten-sekai-no-denchi-shoujo,Gyakuten Sekai no Denchi Shoujo,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/gyakuten-sekai-no-denchi-shoujo.jpg,matched_slug
hajime-no-ippo,Hajime no Ippo,anime,,witanime,,not_found_on_site
hajimete-no-gal,Hajimete no Gal,anime,,witanime,,not_found_on_site
hajimete-no-gal-hajimete-no-bunkasai,Hajimete no Gal: Hajimete no Bunkasai,anime,,witanime,,not_found_on_site
hakuouki-ova-2021-2,Hakuouki OVA (2021),anime,,witanime,,not_found_on_site
hametsu-no-oukoku,Hametsu no Oukoku,anime,,witanime,,not_found_on_site
helck,Helck,anime,,witanime,,not_found_on_site
higurashi-no-naku-koro-ni-2020-2,Higurashi no Naku Koro ni (2020),anime,,witanime,,not_found_on_site
hirogaru-sky-precure,Hirogaru Sky! Precure,anime,,witanime,,not_found_on_site
horimiya-piece,Horimiya: Piece,anime,,witanime,,not_found_on_site
hoshi-no-samidare,Hoshi no Samidare,anime,,witanime,,not_found_on_site
human-bug-daigaku,Human Bug Daigaku,anime,,witanime,,not_found_on_site
hunter-x-hunter-2011,Hunter x Hunter (2011),anime,,witanime,,not_found_on_site
hyouken-no-majutsushi-ga-sekai-wo-suberu,Hyouken no Majutsushi ga Sekai wo Suberu,anime,,witanime,,not_found_on_site
hypnosis-mic-division-rap-battle-rhyme-anima,Hypnosis Mic: Division Rap Battle - Rhyme Anima,anime,,witanime,,not_found_on_site
ijiranaide-nagatoro-san,"Ijiranaide, Nagatoro-san",anime,,witanime,,not_found_on_site
isekai-nonbiri-nouka,Isekai Nonbiri Nouka,anime,,witanime,,not_found_on_site
isekai-ojisan,Isekai Ojisan,anime,,witanime,,not_found_on_site
isekai-one-turn-kill-neesan-ane-douhan-no-isekai-seikatsu-hajimemashita,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,anime,,witanime,,not_found_on_site
isekai-shoukan-wa-nidome-desu,Isekai Shoukan wa Nidome desu,anime,,witanime,,not_found_on_site
isekai-wa-smartphone-to-tomo-ni,Isekai wa Smartphone to Tomo ni,anime,,witanime,,not_found_on_site
itai-no-wa-iya-nano-de-bougyoryoku-ni-kyokufuri-shitai-to-omoimasu,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,anime,,witanime,,not_found_on_site
itou-junji-maniac,Itou Junji: Maniac,anime,,witanime,,not_found_on_site
jaku-chara-tomozaki-kun-specials,Jaku-Chara Tomozaki-kun Specials,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/jaku-chara-tomozaki-kun-specials.jpg,matched_slug
jigoku-sensei-nube-2025-2,Jigoku Sensei Nube (2025),anime,,witanime,,not_found_on_site
jitsu-wa-ore-saikyou-deshita,"Jitsu wa Ore, Saikyou deshita?",anime,,witanime,,not_found_on_site
journey-taiko-arabia-hantou-de-no-kiseki-to-tatakai-no-monogatari-ومدبلج,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari ومدبلج,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-journey-taiko-arabia-hantou-de-no-kiseki-to-tatakai-no-monogatari-مترجم-ومدبلج-اون-لاين.jpg,matched_name
k-project,K-Project,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/k-project.png,matched_slug
k-return-of-kings,K: Return of Kings,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/k-return-of-kings.jpg,matched_slug
k-seven-stories-movie-1-r-b-blaze,K: Seven Stories Movie 1 - R:B - Blaze,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-k-seven-stories-movie-1-r-b-blaze.png,matched_name
k-seven-stories-movie-2-side-blue-tenrou-no-gotoku,K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-k-seven-stories-movie-2-side-blue-tenrou-no-gotoku.png,matched_name
k-seven-stories-movie-3-side-green-uwagaki-sekai,K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-k-seven-stories-movie-3-side-green-uwagaki-sekai.png,matched_name
kaifuku-jutsushi-no-yarinaoshi,Kaifuku Jutsushi no Yarinaoshi,anime,,witanime,,not_found_on_site
kakegurui-twin,Kakegurui Twin,anime,,witanime,,not_found_on_site
kaminaki-sekai-no-kamisama-katsudou,Kaminaki Sekai no Kamisama Katsudou,anime,,witanime,,not_found_on_site
kanata-no-astra,Kanata no Astra,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/kanata-no-astra.jpg,matched_slug
kanojo-ga-koushaku-tei-ni-itta-riyuu,Kanojo ga Koushaku-tei ni Itta Riyuu,anime,,witanime,,not_found_on_site
kawagoe-boys-sing,Kawagoe Boys Sing,anime,,witanime,,not_found_on_site
kawaisugi-crisis,Kawaisugi Crisis,anime,,witanime,,not_found_on_site
keikenzumi-na-kimi-to-keiken-zero-na-ore-ga-otsukiai-suru-hanashi,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi",anime,,witanime,,not_found_on_site
kekkai-sensen-beyond,Kekkai Sensen & Beyond,anime,,witanime,,not_found_on_site
kenpuu-denki-berserk-berserk-1997-2,Kenpuu Denki Berserk (Berserk 1997),anime,,witanime,,not_found_on_site
kibou-no-chikara-otona-precure-23,Kibou no Chikara: Otona Precure '23,anime,,witanime,,not_found_on_site
kikansha-no-mahou-wa-tokubetsu-desu,Kikansha no Mahou wa Tokubetsu desu,anime,,witanime,,not_found_on_site
king-s-raid-ishi-wo-tsugumono-tachi,King's Raid: Ishi wo Tsugumono-tachi,anime,,witanime,,not_found_on_site
kizumonogatari-i-tekketsu-hen,Kizumonogatari I: Tekketsu-hen,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-kizumonogatari-i-tekketsu-hen.png,matched_name
