name,type,image_name,page_url
The Hooligan,series,the-hooligan.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-the-hooligan-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Shafted,series,shafted.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-shafted-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
زمالةمجهولين,series,زمالةمجهولين.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%B2%D9%85%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D8%B4%D8%A7%D9%82-%D8%A7%D9%84%D9%85%D8%AC%D9%87%D9%88%D9%84%D9%8A%D9%86-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Public Disorder,series,public-disorder.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-public-disorder-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
برنامج Dubai Bling,series,برنامج-dubai-bling.jpg,https://tuk.tuktukarab.cfd/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-dubai-bling-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
The Fiery Priest,series,the-fiery-priest.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D9%84%D9%83%D8%A7%D9%87%D9%86-%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D9%8A-the-fiery-priest-season-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Hokago Karte,series,hokago-karte.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%B3%D8%AC%D9%84%D8%A7%D8%AA-%D9%85%D8%A7-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-hokago-karte-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Love Village,series,love-village.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A8%D9%84%D8%AF%D8%A9-%D8%A7%D9%84%D8%AD%D8%A8-love-village-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Club of Crows,series,club-of-crows.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-club-de-cuervos-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
أرشان كونيري,series,أرشان-كونيري.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A3%D8%B1%D8%B4%D8%A7%D9%86-%D9%83%D9%88%D9%86%D9%8A%D8%B1%D9%8A-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
الحامي,series,الحامي.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D9%84%D8%AD%D8%A7%D9%85%D9%8A-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
The Empress,series,the-empress.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-the-empress-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Sayonara no Tsuzuki,series,sayonara-no-tsuzuki.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%85%D8%A7-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%84%D9%88%D8%AF%D8%A7%D8%B9-sayonara-no-tsuzuki-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Sprint,series,sprint.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-sprint-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Last One Standing,series,last-one-standing.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A2%D8%AE%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D9%87%D9%8A%D8%B1-%D8%A7%D9%84%D8%B5%D8%A7%D9%85%D8%AF%D9%8A%D9%86-3-last-one-standing-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Reply 1988,series,reply-1988.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-reply-1988-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Serendipity’s Embrace,series,serendipity-s-embrace.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D8%AD%D8%AA%D8%B6%D8%A7%D9%86-%D8%A7%D9%84%D8%B5%D8%AF%D9%81%D8%A9-serendipitys-embrace-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Messo mo Nai,series,messo-mo-nai.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%84%D8%A7-%D9%8A%D8%B5%D8%AF%D9%82-messo-mo-nai-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Women of the Night,series,women-of-the-night.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-women-of-the-night-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Holy Family,series,holy-family.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-holy-family-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Olóládé,series,ol-l-d.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-ololade-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
ممن كنا نهرب يا أمي؟,series,ممن-كنا-نهرب-يا-أمي؟.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%85%D9%85%D9%86-%D9%83%D9%86%D8%A7-%D9%86%D9%87%D8%B1%D8%A8-%D9%8A%D8%A7-%D8%A3%D9%85%D9%8A-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Sleeping Dog,series,sleeping-dog.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-sleeping-dog-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Aspirants,series,aspirants.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-aspirants-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Standing Up,series,standing-up.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-standing-up-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
The Longest Night,series,the-longest-night.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-the-longest-night-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Two Summers,series,two-summers.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-two-summers-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
